source_path,source_full_url,parsed_name,parsed_city,parsed_specialty
/hausarzt/ansbach/dr-med-ulrike-may-ansbach,https://rzte-online.vercel.app/hausarzt/ansbach/dr-med-ulrike-may-ansbach,ulrike may ansbach,ansbach,hausarzt
/orthopaede/frankenbergsachsen/herr-dr-med-dirk-harlos-frankenbergsachsen,https://rzte-online.vercel.app/orthopaede/frankenbergsachsen/herr-dr-med-dirk-harlos-frankenbergsachsen,dirk harlos frankenbergsachsen,frankenbergsachsen,orthopaede
/hausarzt/hofgeismar/gemeinschaftspraxis-trendelburg-hofgeismar,https://rzte-online.vercel.app/hausarzt/hofgeismar/gemeinschaftspraxis-trendelburg-hofgeismar,trendelburg hofgeismar,hofgeismar,hausarzt
/hausarzt/euskirchen/dr-med-elsbeth-brammertz-euskirchen,https://rzte-online.vercel.app/hausarzt/euskirchen/dr-med-elsbeth-brammertz-euskirchen,elsbeth brammertz euskirchen,euskirchen,hausarzt
/arzt/burgwedel/drmed-dorothee-kiwit-putzer-burgwedel,https://rzte-online.vercel.app/arzt/burgwedel/drmed-dorothee-kiwit-putzer-burgwedel,dorothee kiwit putzer burgwedel,burgwedel,arzt
/arzt/sondershausen/dr-clemens-witzenhausen-sondershausen,https://rzte-online.vercel.app/arzt/sondershausen/dr-clemens-witzenhausen-sondershausen,clemens witzenhausen sondershausen,sondershausen,arzt
/arzt/flensburg/drcarolin-langhanke-dr-christina-brombacher-flensburg,https://rzte-online.vercel.app/arzt/flensburg/drcarolin-langhanke-dr-christina-brombacher-flensburg,drcarolin langhanke christina brombacher flensburg,flensburg,arzt
/augenarzt/aschersleben/augenarztpraxis-bredehorn-mayr-aschersleben,https://rzte-online.vercel.app/augenarzt/aschersleben/augenarztpraxis-bredehorn-mayr-aschersleben,bredehorn mayr aschersleben,aschersleben,augenarzt
/hausarzt/duisburg/herr-matthias-mahle-duisburg,https://rzte-online.vercel.app/hausarzt/duisburg/herr-matthias-mahle-duisburg,matthias mahle duisburg,duisburg,hausarzt
/hausarzt/herzogenrath/dr-med-oliver-fensky-herzogenrath,https://rzte-online.vercel.app/hausarzt/herzogenrath/dr-med-oliver-fensky-herzogenrath,oliver fensky herzogenrath,herzogenrath,hausarzt
/hausarzt/jever/hausarztpraxis-am-schlo-jever,https://rzte-online.vercel.app/hausarzt/jever/hausarztpraxis-am-schlo-jever,schlo jever,jever,hausarzt
/hausarzt/falkensee/hausarztpraxis-daniel-bernau-facharzt-fr-allgemeinmedizin-falkensee,https://rzte-online.vercel.app/hausarzt/falkensee/hausarztpraxis-daniel-bernau-facharzt-fr-allgemeinmedizin-falkensee,daniel bernau falkensee,falkensee,hausarzt
/hausarzt/dorsten/herr-dr-med-georg-haase-dorsten,https://rzte-online.vercel.app/hausarzt/dorsten/herr-dr-med-georg-haase-dorsten,georg haase dorsten,dorsten,hausarzt
/orthopaede/olsberg/dr-med-bernd-j-kamitter-olsberg,https://rzte-online.vercel.app/orthopaede/olsberg/dr-med-bernd-j-kamitter-olsberg,bernd kamitter olsberg,olsberg,orthopaede
/hausarzt/rottenburg/herr-dr-med-matthias-ehrt-rottenburg,https://rzte-online.vercel.app/hausarzt/rottenburg/herr-dr-med-matthias-ehrt-rottenburg,matthias ehrt rottenburg,rottenburg,hausarzt
/hausarzt/luenen/herr-dr-med-ulrich-hning-lnen,https://rzte-online.vercel.app/hausarzt/luenen/herr-dr-med-ulrich-hning-lnen,ulrich hning luenen,luenen,hausarzt
/hausarzt/schwerin/herr-dipl-med-karsten-reininghaus-schwerin,https://rzte-online.vercel.app/hausarzt/schwerin/herr-dipl-med-karsten-reininghaus-schwerin,karsten reininghaus schwerin,schwerin,hausarzt
/hausarzt/ahlen/herr-dr-med-rolf-wermes-ahlen,https://rzte-online.vercel.app/hausarzt/ahlen/herr-dr-med-rolf-wermes-ahlen,rolf wermes ahlen,ahlen,hausarzt
/hausarzt/freiburg/dr-med-christoph-reuss-freiburg,https://rzte-online.vercel.app/hausarzt/freiburg/dr-med-christoph-reuss-freiburg,christoph reuss freiburg,freiburg,hausarzt
/augenarzt/eggenfelden/dr-med-jan-wacker-eggenfelden,https://rzte-online.vercel.app/augenarzt/eggenfelden/dr-med-jan-wacker-eggenfelden,jan wacker eggenfelden,eggenfelden,augenarzt
/hausarzt/dresden/frau-dr-med-antje-rahrisch-dresden,https://rzte-online.vercel.app/hausarzt/dresden/frau-dr-med-antje-rahrisch-dresden,antje rahrisch dresden,dresden,hausarzt
/hausarzt/gelnhausen/dr-med-rdiger-werner-fass-gelnhausen,https://rzte-online.vercel.app/hausarzt/gelnhausen/dr-med-rdiger-werner-fass-gelnhausen,rdiger werner fass gelnhausen,gelnhausen,hausarzt
/arzt/freiberg/herr-dr-med-thomas-morgner-freiberg,https://rzte-online.vercel.app/arzt/freiberg/herr-dr-med-thomas-morgner-freiberg,thomas morgner freiberg,freiberg,arzt
/hausarzt/burghausen/herr-dr-med-christian-schweinberger-burghausen,https://rzte-online.vercel.app/hausarzt/burghausen/herr-dr-med-christian-schweinberger-burghausen,christian schweinberger burghausen,burghausen,hausarzt
/arzt/geilenkirchen/dr-kian-tajrobehkar-geilenkirchen,https://rzte-online.vercel.app/arzt/geilenkirchen/dr-kian-tajrobehkar-geilenkirchen,kian tajrobehkar geilenkirchen,geilenkirchen,arzt
/arzt/annaberg-buchholz/herr-dr-med-jrgen-schulze-annaberg-buchholz,https://rzte-online.vercel.app/arzt/annaberg-buchholz/herr-dr-med-jrgen-schulze-annaberg-buchholz,jrgen schulze annaberg buchholz,annaberg-buchholz,arzt
/arzt/annaberg-buchholz/diplmed-mario-meinig-annaberg-buchholz,https://rzte-online.vercel.app/arzt/annaberg-buchholz/diplmed-mario-meinig-annaberg-buchholz,mario meinig annaberg buchholz,annaberg-buchholz,arzt
/hausarzt/geseke/frau-dr-med-ulrike-kleine-geseke,https://rzte-online.vercel.app/hausarzt/geseke/frau-dr-med-ulrike-kleine-geseke,ulrike kleine geseke,geseke,hausarzt
/orthopaede/frankenbergsachsen/drmed-ellen-barth-frankenbergsachsen,https://rzte-online.vercel.app/orthopaede/frankenbergsachsen/drmed-ellen-barth-frankenbergsachsen,ellen barth frankenbergsachsen,frankenbergsachsen,orthopaede
/hausarzt/lehrte/dr-med-martin-schick-lehrte,https://rzte-online.vercel.app/hausarzt/lehrte/dr-med-martin-schick-lehrte,martin schick lehrte,lehrte,hausarzt
/hausarzt/bochum/herr-dr-med-clemens-seifert-bochum,https://rzte-online.vercel.app/hausarzt/bochum/herr-dr-med-clemens-seifert-bochum,clemens seifert bochum,bochum,hausarzt
/hausarzt/erlangen/drmed-christian-dbig-erlangen,https://rzte-online.vercel.app/hausarzt/erlangen/drmed-christian-dbig-erlangen,christian dbig erlangen,erlangen,hausarzt
/hausarzt/berlin/dr-mehdi-rafii-berlin,https://rzte-online.vercel.app/hausarzt/berlin/dr-mehdi-rafii-berlin,mehdi rafii berlin,berlin,hausarzt
/hausarzt/jena/praxis-dr-med-karsten-gneist-jena,https://rzte-online.vercel.app/hausarzt/jena/praxis-dr-med-karsten-gneist-jena,karsten gneist jena,jena,hausarzt
/arzt/schwalmstadt/drmed-frank-hellmann-schwalmstadt,https://rzte-online.vercel.app/arzt/schwalmstadt/drmed-frank-hellmann-schwalmstadt,frank hellmann schwalmstadt,schwalmstadt,arzt
/hausarzt/siegen/dr-med-martin-mansfeld-siegen,https://rzte-online.vercel.app/hausarzt/siegen/dr-med-martin-mansfeld-siegen,martin mansfeld siegen,siegen,hausarzt
/kinderarzt/erbach/frau-dr-med-romy-schreck-erbach,https://rzte-online.vercel.app/kinderarzt/erbach/frau-dr-med-romy-schreck-erbach,romy schreck erbach,erbach,kinderarzt
/hausarzt/netphen/kinderarztpraxis-turian-westphal-ehemals-koch-netphen,https://rzte-online.vercel.app/hausarzt/netphen/kinderarztpraxis-turian-westphal-ehemals-koch-netphen,turian westphal koch netphen,netphen,hausarzt
/arzt/holzgerlingen/dr-med-dagmar-hofsss-bock-holzgerlingen,https://rzte-online.vercel.app/arzt/holzgerlingen/dr-med-dagmar-hofsss-bock-holzgerlingen,dagmar hofsss bock holzgerlingen,holzgerlingen,arzt
/hausarzt/freiburg/dr-med-stefan-rahner-freiburg,https://rzte-online.vercel.app/hausarzt/freiburg/dr-med-stefan-rahner-freiburg,stefan rahner freiburg,freiburg,hausarzt
/arzt/schwedtoder/praxisgemeinschaft-fr-urologie-zenk-roszyk-schwedtoder,https://rzte-online.vercel.app/arzt/schwedtoder/praxisgemeinschaft-fr-urologie-zenk-roszyk-schwedtoder,urologie zenk roszyk schwedt oder,schwedt-oder,arzt
/hausarzt/schwerin/dr-med-torsten-dahlmann-schwerin,https://rzte-online.vercel.app/hausarzt/schwerin/dr-med-torsten-dahlmann-schwerin,torsten dahlmann schwerin,schwerin,hausarzt
/hausarzt/witten/dr-berg-witten,https://rzte-online.vercel.app/hausarzt/witten/dr-berg-witten,berg witten,witten,hausarzt
/augenarzt/fritzlar/drmed-jrg-bgeholz-fritzlar,https://rzte-online.vercel.app/augenarzt/fritzlar/drmed-jrg-bgeholz-fritzlar,jrg bgeholz fritzlar,fritzlar,augenarzt
/hausarzt/oberndorf/herr-m-d-univ-damaskus-leon-darwisch-oberndorf,https://rzte-online.vercel.app/hausarzt/oberndorf/herr-m-d-univ-damaskus-leon-darwisch-oberndorf,damaskus leon darwisch oberndorf,oberndorf,hausarzt
/hausarzt/reutlingen/herr-dr-med-till-reckert-reutlingen,https://rzte-online.vercel.app/hausarzt/reutlingen/herr-dr-med-till-reckert-reutlingen,till reckert reutlingen,reutlingen,hausarzt
